num_op,type_op,date_op,montant_op,libelle_op,id_tmm,num_co
135,Debit,2021-02-22 07:57:04,1971.353,Customer-focused clear-thinking focus group,97,58
136,Debit,2020-08-30 10:18:41,4851.651,Persistent motivating product,73,733
137,Debit,2020-07-18 18:26:00,2514.825,Enterprise-wide bifurcated array,11,60
138,Credit,2020-09-02 14:38:33,2969.269,Distributed holistic policy,64,315
139,Debit,2020-10-31 23:57:09,2877.176,Seamless stable toolset,2,94
140,Credit,2020-10-11 22:25:38,2968.108,Pre-emptive optimal capability,75,28
141,Debit,2020-11-05 12:30:41,1742.054,Advanced modular matrices,64,406
142,Credit,2021-03-02 07:10:35,400.135,Reduced regional process improvement,73,626
143,Credit,2020-10-09 01:13:40,2005.354,Extended object-oriented frame,19,24
144,Credit,2020-06-19 03:17:25,3552.473,Ergonomic leading edge framework,93,469
145,Debit,2021-02-04 11:30:42,2713.562,Pre-emptive zero defect capability,57,516
146,Credit,2021-04-21 14:58:10,4389.075,Enterprise-wide discrete definition,14,394
147,Credit,2020-12-07 15:14:48,2097.245,Horizontal hybrid synergy,2,89
148,Credit,2020-09-09 23:00:44,4194.935,Multi-lateral grid-enabled project,97,751
149,Debit,2021-04-09 13:08:11,1070.839,Open-source static challenge,3,660
150,Credit,2020-05-30 04:10:02,4472.383,Realigned bi-directional service-desk,1,578
151,Debit,2020-08-02 08:08:00,4240.199,Secured cohesive intranet,39,1
152,Credit,2021-04-29 01:44:45,3638.256,Cross-platform even-keeled flexibility,11,55
153,Debit,2020-12-13 13:48:34,3569.209,Mandatory intermediate info-mediaries,39,767
154,Debit,2020-09-30 23:19:33,737.773,Managed coherent secured line,57,89
155,Credit,2021-04-25 23:53:24,2471.409,Optional maximized frame,11,362
156,Debit,2020-07-06 01:12:48,4010.703,Multi-channelled clear-thinking website,57,749
157,Credit,2020-05-17 14:07:33,2816.444,Self-enabling motivating ability,76,397
158,Debit,2020-06-29 14:26:13,2113.475,Quality-focused multi-state Graphic Interface,97,686
159,Debit,2020-05-26 23:48:33,1426.032,Vision-oriented modular analyzer,2,356
160,Credit,2020-06-13 03:18:53,4044.268,Multi-layered maximized orchestration,76,752
161,Debit,2020-08-15 22:07:38,2264.799,Visionary bandwidth-monitored leverage,55,565
162,Debit,2020-05-24 09:10:19,2461.313,Balanced national portal,3,462
163,Credit,2021-04-22 10:37:24,2500.407,Right-sized asynchronous open system,39,516
164,Credit,2021-01-29 23:28:15,1858.045,Grass-roots static approach,91,352
165,Credit,2020-09-25 02:26:47,2088.253,Polarised value-added matrices,57,26
166,Debit,2021-03-29 06:40:11,3242.751,Cloned 24 hour focus group,91,713
167,Credit,2021-03-20 03:26:44,3675.244,Cross-platform object-oriented orchestration,73,542
168,Debit,2020-05-23 00:04:03,2154.928,Diverse bandwidth-monitored functionalities,2,46
169,Credit,2021-03-07 12:17:38,3230.181,Open-source zero administration emulation,2,477
170,Debit,2021-03-14 02:49:01,2124.77,Pre-emptive secondary function,73,648
171,Credit,2021-03-04 18:14:05,1481.769,Business-focused incremental architecture,2,515
172,Debit,2020-09-01 08:56:39,1167.547,Synergistic secondary customer loyalty,92,560
173,Credit,2020-07-05 04:21:23,239.717,User-centric zero administration monitoring,92,412
174,Debit,2020-12-28 06:21:06,4945.077,Reverse-engineered leading edge frame,76,592
175,Debit,2021-02-01 09:21:40,4346.123,Persistent 5th generation knowledge base,73,742
176,Credit,2020-10-17 05:49:41,1278.627,Stand-alone secondary complexity,76,463
177,Credit,2021-02-25 11:14:55,41.685,Persistent multimedia contingency,73,62
178,Credit,2020-10-14 07:15:06,3301.055,Public-key maximized policy,91,341
179,Debit,2021-01-20 09:50:09,1093.186,Grass-roots methodical function,46,586
180,Debit,2020-10-26 08:49:03,2898.543,Customer-focused heuristic service-desk,97,473
181,Debit,2020-09-22 05:46:19,2577.33,Managed 6th generation matrices,76,26
182,Debit,2021-01-10 11:03:16,2424.088,Stand-alone methodical functionalities,2,85
183,Credit,2020-12-07 13:44:26,83.19,Robust optimizing knowledge base,100,66
184,Debit,2021-04-06 11:15:21,3979.037,Realigned bottom-line definition,11,447
185,Debit,2020-11-17 15:54:27,3768.953,Organic analyzing orchestration,64,90
186,Debit,2020-07-31 16:32:10,943.543,Polarised non-volatile alliance,39,399
187,Debit,2020-11-16 04:42:04,4761.749,Total disintermediate algorithm,93,44
188,Credit,2020-10-29 07:19:06,836.098,Streamlined optimal challenge,14,664
189,Debit,2020-08-02 04:59:08,1018.256,Down-sized uniform array,19,591
190,Debit,2021-05-01 12:21:58,2133.5,Cross-platform bi-directional success,11,382
191,Debit,2020-05-16 01:56:48,4244.976,Fully-configurable zero tolerance data-warehouse,91,405
192,Debit,2021-02-12 19:08:26,3306.813,Robust transitional methodology,93,50
193,Credit,2020-11-10 13:31:25,1790.726,Adaptive stable core,11,644
194,Debit,2020-10-06 13:06:13,4243.356,Persistent multi-tasking monitoring,11,420
195,Credit,2020-11-01 14:52:26,1827.58,Operative dynamic Graphical User Interface,3,714
196,Credit,2020-06-07 08:25:22,3589.855,Organic intermediate framework,14,538
197,Credit,2020-08-06 06:24:06,668.19,Virtual even-keeled definition,93,322
198,Credit,2020-12-05 00:52:29,3815.495,Reverse-engineered dynamic internet solution,1,737
199,Credit,2021-04-05 03:49:27,2151.791,Quality-focused executive synergy,39,327
200,Credit,2020-11-12 04:24:47,139.851,Public-key human-resource firmware,92,664
201,Debit,2020-08-07 03:43:02,427.091,Phased methodical intranet,92,416
202,Debit,2020-05-16 20:58:26,3661.557,Proactive asynchronous approach,55,331
203,Debit,2020-09-29 07:59:39,1390.837,Implemented object-oriented task-force,75,391
204,Debit,2020-07-21 00:01:23,2782.299,Adaptive zero defect throughput,75,717
205,Debit,2021-04-16 11:22:17,1461.356,User-friendly incremental functionalities,57,68
206,Credit,2020-11-30 08:42:20,3656.606,Customer-focused disintermediate framework,39,757
207,Credit,2020-07-22 00:05:07,1934.426,Cross-group cohesive framework,100,769
208,Debit,2020-10-09 19:17:36,1900.911,Up-sized client-driven success,100,628
209,Credit,2020-11-30 20:56:54,474.893,Optimized bi-directional customer loyalty,91,418
210,Debit,2020-05-12 22:22:29,2238.777,Multi-layered leading edge project,92,61
211,Debit,2020-12-07 11:39:07,1889.429,Persevering logistical success,1,673
212,Credit,2020-11-17 06:06:17,4343.091,Business-focused bifurcated hub,19,74
213,Credit,2020-08-06 10:30:26,2221.136,Reduced high-level projection,11,527
214,Debit,2021-05-08 10:23:05,2821.052,Function-based non-volatile archive,39,730
215,Debit,2020-07-23 03:37:47,3499.017,Cross-group executive analyzer,46,582
216,Debit,2020-09-08 11:16:29,3323.008,Adaptive background data-warehouse,75,510
217,Credit,2021-02-25 19:30:27,4160.044,Triple-buffered bottom-line success,97,28
218,Credit,2020-06-08 07:09:28,2691.378,Up-sized 6th generation policy,14,612
219,Credit,2020-06-16 08:37:31,3536.394,Implemented well-modulated capacity,75,2
220,Debit,2020-10-04 05:04:08,312.837,Adaptive context-sensitive capability,73,491
221,Debit,2020-05-18 14:45:53,1638.72,Synergized motivating hub,76,473
222,Debit,2021-04-10 05:57:46,1312.317,Future-proofed explicit emulation,100,563
223,Credit,2020-11-06 06:48:23,699.496,Automated contextually-based leverage,91,20
224,Debit,2020-06-17 09:23:31,1508.863,Vision-oriented bifurcated core,97,718
225,Debit,2020-06-16 09:53:27,2870.496,Balanced background internet solution,91,696
226,Credit,2020-06-25 22:10:01,2267.718,Public-key 4th generation Graphic Interface,11,337
227,Credit,2020-11-19 05:30:29,4655.731,Networked radical success,14,429
228,Debit,2020-05-17 22:14:57,3297.473,Down-sized transitional help-desk,75,674
229,Credit,2020-09-21 04:08:20,4522.72,Optional 4th generation policy,97,656
230,Credit,2020-07-08 20:17:25,1632.848,Fully-configurable contextually-based project,19,565
231,Debit,2020-07-10 03:38:32,1062.011,Front-line systemic local area network,2,473
232,Debit,2020-10-05 23:11:53,337.564,Innovative demand-driven instruction set,3,637
233,Credit,2020-09-09 04:27:08,1342.238,Compatible coherent structure,97,668
234,Credit,2020-11-07 03:57:46,133.217,Upgradable bifurcated model,39,739
235,Credit,2020-12-16 05:53:54,1487.78,De-engineered high-level encryption,55,337
236,Credit,2020-07-13 09:30:45,2289.569,Proactive asynchronous ability,93,769
237,Debit,2021-02-18 17:46:19,305.105,Visionary optimizing moratorium,14,348
238,Debit,2020-06-24 06:33:18,1470.718,Fully-configurable zero administration secured line,39,574
239,Credit,2020-11-25 21:49:35,4506.295,Realigned cohesive neural-net,19,31
240,Credit,2021-02-22 22:06:31,2274.686,Multi-lateral regional algorithm,57,404
241,Debit,2021-03-16 11:24:54,41.437,Multi-layered attitude-oriented capacity,14,87
242,Debit,2021-02-06 12:12:03,1622.588,Switchable foreground architecture,14,47
243,Credit,2020-10-04 12:07:46,2621.397,Monitored logistical archive,57,422
244,Credit,2020-10-14 09:55:50,655.467,Fundamental web-enabled success,57,565
245,Credit,2020-09-21 18:47:08,4189.944,Distributed zero administration product,55,784
246,Debit,2020-12-06 09:27:12,4240.149,Operative hybrid budgetary management,76,565
247,Debit,2020-10-15 09:45:27,480.456,Visionary local Graphical User Interface,76,538
248,Credit,2021-01-17 23:58:12,1299.654,Universal logistical productivity,64,561
249,Debit,2020-12-02 01:27:41,2907.301,Total client-driven orchestration,92,499
250,Credit,2021-03-12 08:11:46,2408.167,Universal optimizing solution,19,8
251,Debit,2020-06-04 02:06:46,3884.025,Diverse exuding pricing structure,92,659
252,Debit,2020-05-27 12:36:15,3418.089,Diverse client-driven artificial intelligence,3,534
253,Debit,2020-10-02 23:57:47,853.373,Implemented human-resource Graphic Interface,75,326
254,Debit,2020-06-02 17:21:19,95.651,Programmable bottom-line core,55,99
255,Credit,2021-01-08 02:14:16,3455.038,Optimized 6th generation functionalities,91,368
256,Credit,2020-05-22 00:21:05,1607.666,Object-based next generation algorithm,19,717
257,Credit,2020-12-04 11:57:51,3987.761,Re-engineered cohesive circuit,57,328
258,Credit,2020-06-15 21:43:02,2688.542,Open-source logistical infrastructure,19,35
259,Debit,2020-10-10 17:35:18,88.253,Right-sized needs-based hierarchy,57,787
260,Credit,2020-12-02 19:53:11,2520.651,Advanced contextually-based functionalities,75,644
261,Debit,2020-08-25 12:37:02,3418.792,Re-contextualized directional support,93,781
262,Credit,2020-12-13 12:52:23,2021.561,Ergonomic transitional parallelism,73,374
263,Credit,2020-11-09 12:12:29,4240.569,Organized discrete middleware,2,470
264,Debit,2020-05-12 17:05:38,2932.113,Optimized empowering hub,91,533
265,Debit,2020-11-30 07:38:19,2246.501,Re-engineered executive leverage,19,727
266,Credit,2020-08-01 19:19:26,4063.998,Organized actuating instruction set,55,391
267,Debit,2021-02-20 20:20:24,4223.923,Face to face upward-trending firmware,97,386
268,Debit,2020-12-04 21:06:43,3138.155,Public-key 24/7 structure,100,452
269,Debit,2020-11-05 12:04:38,3882.79,Synergistic intermediate product,57,609
270,Debit,2021-04-12 01:27:45,4767.601,Implemented neutral application,11,584
271,Credit,2021-01-03 07:23:56,4350.17,Innovative stable firmware,2,409
272,Debit,2021-02-02 13:59:55,2809.732,Versatile intangible attitude,39,638
273,Credit,2020-05-28 08:41:53,215.438,Progressive asymmetric hub,91,63
274,Debit,2020-09-15 04:47:52,3673.623,Innovative executive complexity,1,412
275,Debit,2020-09-13 01:29:55,632.089,Assimilated contextually-based policy,100,789
276,Credit,2021-04-11 23:16:08,4631.136,Public-key directional paradigm,73,527
277,Debit,2021-01-26 23:20:22,4161.124,Organic leading edge collaboration,97,357
278,Debit,2021-01-11 20:13:22,2282.648,Robust modular archive,97,376
279,Debit,2020-11-29 21:34:52,702.524,Diverse intermediate hub,11,27
280,Debit,2020-08-21 23:04:01,4803.889,Focused web-enabled neural-net,73,358
281,Credit,2020-11-17 20:27:50,2898.036,Monitored actuating synergy,75,622
282,Debit,2020-12-25 23:02:06,147.511,Phased scalable projection,3,83
283,Debit,2021-01-07 18:19:55,1129.306,Progressive coherent benchmark,93,750
284,Debit,2020-07-06 18:49:00,1060.261,Adaptive 6th generation architecture,93,670
285,Debit,2021-01-24 12:43:40,2815.792,Implemented coherent task-force,46,36
286,Credit,2021-01-09 15:21:27,2367.357,Compatible regional application,75,656
287,Credit,2020-11-11 17:10:46,3458.447,Open-source incremental capability,2,385
288,Credit,2020-09-22 12:40:37,1318.858,Triple-buffered disintermediate knowledge user,76,20
289,Credit,2020-08-25 07:12:53,4976.991,Optimized 6th generation methodology,64,578
290,Debit,2020-08-08 18:31:41,2890.386,Upgradable discrete attitude,3,393
291,Debit,2021-02-24 06:11:05,344.305,Managed multi-state alliance,2,385
292,Debit,2021-03-22 01:26:04,2967.564,Multi-channelled zero tolerance artificial intelligence,46,39
293,Debit,2020-06-04 16:05:23,2385.735,Synergized bi-directional methodology,57,501
294,Debit,2020-06-25 05:34:50,132.866,Multi-layered scalable adapter,100,347
295,Credit,2020-11-25 04:07:02,2435.826,Digitized radical attitude,19,90
296,Credit,2020-11-22 09:46:16,1779.871,Intuitive national monitoring,97,627
297,Debit,2020-06-03 15:15:21,580.894,Cross-group non-volatile Graphical User Interface,46,548
298,Debit,2021-02-02 16:42:18,2544.206,Programmable solution-oriented encoding,75,757
299,Debit,2020-05-30 14:46:10,1545.144,Virtual contextually-based local area network,100,314
300,Credit,2021-01-08 01:41:20,3308.469,Ergonomic exuding workforce,57,396
301,Credit,2021-02-11 07:52:01,2739.014,Automated non-volatile protocol,46,359
302,Credit,2020-12-27 08:09:10,3178.459,Cloned 5th generation adapter,14,755
303,Debit,2020-09-30 09:11:57,4521.174,Reverse-engineered grid-enabled website,75,763
304,Debit,2021-04-28 00:01:39,3683.43,Total homogeneous alliance,93,722
305,Credit,2020-08-09 05:17:46,2676.354,Multi-tiered real-time neural-net,75,586
306,Debit,2020-12-12 18:48:33,2156.739,Multi-lateral even-keeled secured line,19,688
307,Credit,2020-07-31 13:36:28,1258.464,Object-based homogeneous service-desk,2,15
308,Debit,2021-02-19 12:32:57,3396.9,Quality-focused value-added info-mediaries,57,478
309,Credit,2020-09-30 05:51:21,535.993,Customer-focused grid-enabled time-frame,55,759
310,Debit,2021-02-12 13:11:23,2384.404,Re-engineered zero administration infrastructure,100,439
311,Debit,2020-08-23 14:58:30,3370.879,Business-focused reciprocal architecture,97,630
312,Credit,2020-07-21 14:22:28,3135.084,De-engineered even-keeled alliance,11,550
313,Debit,2021-05-06 01:40:31,736.966,Polarised mission-critical installation,39,38
314,Debit,2020-08-02 21:49:03,4057.0,Extended modular protocol,39,570
315,Credit,2021-05-07 01:58:39,4274.455,Configurable user-facing paradigm,11,756
316,Debit,2021-03-18 14:02:11,4809.59,Fully-configurable reciprocal analyzer,57,21
317,Credit,2020-07-27 14:11:19,2880.526,Inverse foreground capacity,11,643
318,Debit,2021-03-11 21:40:07,3521.193,Ameliorated global secured line,93,447
319,Debit,2021-02-18 17:19:56,3718.292,Ergonomic responsive model,19,390
320,Credit,2021-03-24 19:47:09,4634.685,Robust global groupware,46,336
321,Credit,2020-10-26 04:24:43,3209.396,Multi-lateral tangible open system,100,440
322,Credit,2020-07-09 12:34:44,2582.8,Visionary directional open architecture,19,664
323,Credit,2020-08-17 16:56:28,2884.995,Programmable scalable access,100,637
324,Debit,2021-03-23 12:47:49,358.863,Function-based high-level model,100,630
325,Debit,2020-11-09 06:34:51,4338.719,Open-architected exuding support,92,748
326,Debit,2021-04-04 19:54:20,3459.53,Triple-buffered grid-enabled analyzer,11,307
327,Debit,2020-09-13 16:44:21,4903.93,Triple-buffered hybrid knowledge user,91,678
328,Debit,2021-02-15 23:06:14,1705.825,Stand-alone holistic neural-net,55,340
329,Debit,2020-06-25 10:48:36,203.779,Self-enabling needs-based neural-net,11,30
330,Credit,2020-08-31 09:49:28,1651.788,Reduced bottom-line encoding,92,704
331,Debit,2020-07-04 03:52:24,603.289,Balanced fault-tolerant website,11,563
332,Credit,2020-06-27 08:07:20,737.95,Stand-alone asynchronous throughput,97,793
333,Credit,2020-05-17 20:47:16,3442.449,Managed empowering Graphical User Interface,11,593
334,Debit,2020-12-16 14:52:03,2434.105,Reverse-engineered intangible hardware,97,691
335,Debit,2021-01-18 22:16:31,3472.407,Streamlined executive frame,91,365
336,Credit,2021-04-22 23:50:40,3359.445,Fundamental empowering extranet,100,361
337,Credit,2020-10-21 06:11:30,826.87,Total client-server matrices,39,759
338,Debit,2020-06-21 09:29:06,1077.721,Synergized actuating workforce,91,442
339,Credit,2021-04-27 19:11:23,2262.611,Down-sized neutral contingency,75,769
340,Debit,2021-03-13 05:43:24,478.626,Phased zero administration service-desk,3,582
341,Credit,2020-07-15 09:41:46,1899.959,Optional bottom-line projection,91,314
342,Credit,2020-08-14 11:55:39,4531.46,Intuitive didactic success,93,490
343,Credit,2021-03-10 02:56:09,3841.649,Reactive modular toolset,97,708
344,Credit,2020-12-22 17:37:03,1242.597,Intuitive client-server moderator,11,557
345,Credit,2020-07-04 04:54:10,3688.308,Multi-channelled contextually-based methodology,93,330
